-41150	41504	4	-4
31211	-10213	-3	1
-51522	-41248	5	4
31227	-51593	-3	5
31257	-20560	-3	2
41558	10468	-4	-1
10539	-30904	-1	3
51919	-41253	-5	4
31246	10473	-3	-1
-20471	20813	2	-2
51910	-10222	-5	1
-20503	20816	2	-2
20901	-41255	-2	4
31249	-41249	-3	4
-10139	10477	1	-1
20888	-30903	-2	3
31218	31158	-3	-3
-30802	51848	3	-5
51923	51854	-5	-5
-51503	41504	5	-4
-10131	31165	1	-3
-30809	-10222	3	1
10551	20818	-1	-2
31236	31158	-3	-3
-51534	20822	5	-2
20920	-41250	-2	4
-30841	41504	3	-4
51932	-41256	-5	4
31249	10469	-3	-1
-41198	41505	4	-4
-30833	41510	3	-4
-51494	41507	5	-4
10553	10472	-1	-1
-41174	-20564	4	2
41578	20816	-4	-2
-51503	-10214	5	1
-30824	-30906	3	3
-41172	20816	4	-2
-41198	41507	4	-4
41578	-30911	-4	3
20904	20817	-2	-2
51901	41503	-5	-4
20872	-30906	-2	3
31265	-20560	-3	2
-10136	-10217	1	1
31246	20817	-3	-2
51927	20820	-5	-2
-30821	-10222	3	1
-20492	-10221	2	1
-20488	-51596	2	5
41610	-41249	-4	4
31257	-30908	-3	3
41610	31160	-4	-3
-10151	41503	1	-4
-51527	-10216	5	1
20867	-30903	-2	3
31228	41503	-3	-4
-10160	-41253	1	4
41595	-30907	-4	3
-51506	31158	5	-3
-10142	-10219	1	1
-10115	-10222	1	1
10572	-51601	-1	5
51899	20818	-5	-2
-20476	-30910	2	3
-41174	31162	4	-3
31246	41509	-3	-4
-30801	-41253	3	4
-10130	41508	1	-4
-20473	10470	2	-1
-41150	-20565	4	2
31246	31165	-3	-3
41610	-41256	-4	4
41574	31164	-4	-3
-41157	-30903	4	3
31241	10469	-3	-1
31217	-30912	-3	3
10529	41503	-1	-4
20901	51853	-2	-5
-51551	10472	5	-1
41613	41503	-4	-4
-10134	-41251	1	4
41595	-41253	-4	4
-51511	10477	5	-1
-30837	-10217	3	1
51950	-51602	-5	5
-51541	41503	5	-4
51907	51857	-5	-5
-41198	10469	4	-1
-30834	20817	3	-2
51947	31163	-5	-3
-30804	-30912	3	3
-30829	-20560	3	2
10547	-30908	-1	3
-51531	31166	5	-3
51955	41510	-5	-4
-30861	-30911	3	3
20872	-51596	-2	5
-30829	51854	3	-5
-41150	-10218	4	1
31257	-20560	-3	2
-20476	20816	2	-2
-20468	10470	2	-1
-51519	-30911	5	3
51959	10468	-5	-1
20888	-51593	-2	5
51947	10475	-5	-1
31246	10468	-3	-1
-20516	-41249	2	4
-51511	-41248	5	4
-41147	20817	4	-2
-41150	-51594	4	5
-10163	-30908	1	3
-10152	-10213	1	1
-20460	-30903	2	3
-41169	-10219	4	1
-51531	-30907	5	3
-30812	41503	3	-4
-41169	10477	4	-1
10546	51848	-1	-5
-10139	20813	1	-2
-30861	51851	3	-5
-20497	-51593	2	5
51949	-20558	-5	2
41597	-51595	-4	5
51940	31163	-5	-3
41589	10473	-4	-1
-51495	-41257	5	4
31265	-41254	-3	4
10527	10473	-1	-1
51927	41509	-5	-4
20884	10471	-2	-1
-51493	41507	5	-4
-41182	-30912	4	3
10575	41509	-1	-4
20884	-20567	-2	2
10535	-20560	-1	2
-51543	41512	5	-4
-30825	-10214	3	1
-51535	-20559	5	2
10528	-10218	-1	1
-51538	41506	5	-4
20892	-30905	-2	3
31249	-51596	-3	5
10539	20815	-1	-2
-20464	-41248	2	4
-41186	-20567	4	2
-20492	20820	2	-2
-30818	31165	3	-3
-10131	-51596	1	5
51919	20814	-5	-2
-41166	-30905	4	3
-10151	31163	1	-3
10522	10468	-1	-1
51911	-30912	-5	3
-41173	31160	4	-3
31260	-41248	-3	4
-10139	-10220	1	1
-30857	-20558	3	2
10531	-10222	-1	1
-30813	-20566	3	2
51944	-30903	-5	3
-41198	20820	4	-2
-41150	-41252	4	4
-20508	20814	2	-2
41554	-41256	-4	4
31238	-41248	-3	4
20906	-10219	-2	1
51912	41505	-5	-4
20866	-51602	-2	5
10519	31164	-1	-3
-20479	51856	2	-5
-30829	-51596	3	5
51943	-10221	-5	1
20917	-41249	-2	4
20888	41507	-2	-4
51957	41507	-5	-4
-20499	-10213	2	1
51911	41503	-5	-4
-51551	-51595	5	5
-10139	51849	1	-5
41582	-10222	-4	1
-41150	31159	4	-3
20888	41504	-2	-4
10567	20821	-1	-2
51900	-10222	-5	1
-51503	20815	5	-2
-20488	-51596	2	5
51939	-10221	-5	1
31270	10468	-3	-1
-51527	20816	5	-2
51926	51853	-5	-5
-51543	-20564	5	2
20883	-20558	-2	2
-41166	20816	4	-2
51936	41511	-5	-4
-10115	-10220	1	1
31210	-51593	-3	5
-10115	-41248	1	4
31233	-20559	-3	2
20921	-51598	-2	5
-41185	-30912	4	3
-51531	-51600	5	5
10543	-10220	-1	1
